and7,0,test,start_test,
and7,0,data,load_level,rules_0
and7,0,data,load_rules,rules_0
and7,4,game,edit_rules,
and7,4,rule,change_param,MoveSpeed,System.Single
and7,4,rule,change_param,FollowSpeed,System.Single
and7,4,rule,change_param,InputKey,UnityEngine.KeyCode
and7,4,rule,change_param,MoveSpeed,System.Single
and7,4,rule,change_param,InputKey,UnityEngine.KeyCode
and7,4,rule,change_param,MoveSpeed,System.Single
and7,4,rule,change_param,InputKey,UnityEngine.KeyCode
and7,4,rule,change_param,MoveSpeed,System.Single
and7,4,rule,change_param,InputKey,UnityEngine.KeyCode
and7,4,rule,change_param,MoveSpeed,System.Single
and7,4,rule,change_param,InputKey,UnityEngine.KeyCode
and7,4,rule,change_param,Distance,System.Single
and7,4,rule,change_param,InputKey,UnityEngine.KeyCode
and7,4,rule,change_param,MoveSpeed,System.Single
and7,4,rule,change_param,HorizontalMaxSpeed,System.Single
and7,4,rule,change_param,VerticalMaxSpeed,System.Single
and7,4,rule,change_param,Gravity,System.Single
and7,11,rule,add_reaction,WinLoseGame
and7,15,data,load_level,rules_0
and7,15,data,load_rules,from,data
and7,15,game,test_game,
and7,18,data,load_level,rules_0
and7,18,data,load_rules,from,data
and7,31,game,edit_rules,
and7,38,rule,add_actor,PlayerCamera
and7,49,rule,change_name,PlayerCamera,>,Player2Camera
and7,60,rule,add_event,ObjectMovedEvent
and7,60,rule,add_reaction,FollowObject
and7,73,rule,change_param,StayBehindObject,System.Boolean
and7,84,rule,change_param,Offset,UnityEngine.Vector3
and7,85,data,load_level,rules_0
and7,85,data,load_rules,from,data
and7,85,game,test_game,
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
and7,89,error,exception_thrown,NullReferenceException:,Object,reference,not,set,to,an,instance,of,an,object
